"#","St","MLS® #","Property Sub Type","Subdivision Name","Close Date","List Price","Close Price","RMS Total","Address","City","Year Built","DOM","List Agent Full Name","List Agent Mls Id","Co List Agent Mls Id","Buyer Agent Full Name","Buyer Agent Mls Id","Co Buyer Agent Mls Id","District"
"1501","S","A2109974","Row/Townhouse","West Springs","03/26/2024","$474,900.00","$468,000.00","1,268","8366 9 Avenue SW","Calgary","2015","19","Jessica Bruse","CVERMAJE","","Clarence Kim","CKIMCL","","CAL Zone W"
"1501","S","A2102634","Detached","Whitehorn","03/28/2024","$479,000.00","$468,000.00","805","363 Whitlock Way NE","Calgary","1980","69","Muhammad Zubair","CZUBAIMU","","Jamie Cheung","CCHEUNJA1","","CAL Zone NE"
"1501","S","A2104221","Apartment","Downtown East Village","03/29/2024","$495,000.00","$466,400.00","880","560 6 Avenue SE Unit#208","Calgary","2015","59","Grady Krebs","CKREBSGR","","Dawnell Werner","CWERNEDA","","CAL Zone CC"
"1501","S","A2113450","Row/Townhouse","Evanston","03/21/2024","$444,999.00","$466,000.00","1,409","11 Evanscrest Mews NW Unit#304","Calgary","2016","8","Michael Hassel","CHASSEMI","","Gijo Varghese","CVARGHGI","","CAL Zone N"
"1501","S","A2110825","Row/Townhouse","Copperfield","03/14/2024","$425,000.00","$466,000.00","1,424","221 Copperpond Row SE","Calgary","2012","9","Kiaira Chita","CCHITAKI","","Kyle Gillespie","CGILLEKY","","CAL Zone SE"
"1501","S","A2113467","Row/Townhouse","Evergreen","03/15/2024","$426,000.00","$465,100.00","1,302","65 Eversyde Point SW","Calgary","2004","7","Taryn Pessanha","CPESSAIS","","Constantin Varna","CVARNACO","","CAL Zone S"
"1501","S","A2114792","Detached","Southview","03/25/2024","$425,000.00","$465,000.00","1,091","2824 26 Avenue SE","Calgary","1953","11","Erick Dillmann","CDILLMER","","Denis Hrstic","CHRSTIDE","","CAL Zone E"
"1501","S","A2114739","Row/Townhouse","Evanston","03/27/2024","$450,000.00","$465,000.00","1,238","803 Evanston Manor NW","Calgary","2016","13","Erin Koschewski","CKOSCHER","","Paul Bal","CBALPR","","CAL Zone N"
"1501","S","A2114115","Row/Townhouse","Walden","03/28/2024","$465,000.00","$465,000.00","1,511","276 Walden Path SE","Calgary","2017","15","Yu Jing Ren","CRENYU","CWANGYU1","Frank Simonfi","CSIMONFE","","CAL Zone S"
"1501","S","A2113700","Row/Townhouse","Saddle Ridge","03/25/2024","$469,900.00","$465,000.00","1,330","10060 46 Street NE Unit#502","Calgary","2023","15","Jatinder Singh","CSINGHJA6","","Jatinder Singh","CSINGHJA13","","CAL Zone NE"
"1501","S","A2113512","Row/Townhouse","Walden","03/26/2024","$450,000.00","$465,000.00","1,300","76 WALGROVE Common SE","Calgary","2022","17","Sandra Castro","CCASTRSA","","Philippe Pono","CPONOPH","","CAL Zone S"
"1501","S","A2112064","Detached","Applewood Park","03/22/2024","$440,000.00","$465,000.00","962","51 Appletree Close SE","Calgary","1989","16","Mel McCartney","CMCCARME","","Manveer Boparai","CBOPARMA1","","CAL Zone E"
"1501","S","A2111993","Apartment","Beltline","03/15/2024","$449,900.00","$465,000.00","796","1500 7 Street SW Unit#1206","Calgary","2013","9","Ben Knopp","CKNOPPBE","","Jon Dick","CDICKJO","","CAL Zone CC"
"1501","S","A2108651","Row/Townhouse","McKenzie Towne","03/02/2024","$439,900.00","$465,000.00","1,268","308 Mckenzie Towne Link SE","Calgary","2002","11","Brandee Innes","CINNESBR","","Sohini Ruparell","CRUPARSO","","CAL Zone SE"
"1501","S","A2108494","Row/Townhouse","Evanston","03/04/2024","$449,900.00","$465,000.00","1,425","15 Evanscrest Park NW Unit#206","Calgary","2017","10","Kelly Turner","CTURNEKE","","Jolene Sherven","CSHERVJO","","CAL Zone N"
"1501","S","A2102252","Apartment","Beltline","03/04/2024","$470,000.00","$465,000.00","771","1188 3 Street SE Unit#1404","Calgary","2017","44","Wenting Wu","CWUWE","","Adam Sharek","CSHAREAD","","CAL Zone CC"
"1501","S","A2109098","Row/Townhouse","Aspen Woods","03/06/2024","$459,900.00","$464,900.00","1,028","226 Aspen Hills Villas SW","Calgary","2007","12","Mingu Kyoung","CKYOUNMI","","Allison Sigurdson","CSIGURAL","","CAL Zone W"
"1501","S","A2115871","Row/Townhouse","Belmont","03/25/2024","$465,900.00","$463,000.00","1,169","857 BELMONT Drive SW Unit#530","Calgary","2023","6","Rob Smith","CSMITHRO8","","George Costa","CCOSTAGE","","CAL Zone S"
"1501","S","A2114985","Row/Townhouse","Mount Pleasant","03/23/2024","$425,000.00","$462,500.00","1,157","408 31 Avenue NW Unit#602","Calgary","1995","9","Keiran Hughes","CHUGHEKE","","Trung Bien","CBIENTR1","CHALPEAL","CAL Zone CC"
"1501","S","A2110931","Apartment","Lower Mount Royal","03/27/2024","$474,900.00","$462,500.00","934","1719 9A Street SW Unit#319","Calgary","2014","26","Michael Ferianec","CFERIAMI","","Varghese Joseph","CJOSEPVA","","CAL Zone CC"
"1501","S","A2109291","Row/Townhouse","Copperfield","03/01/2024","$449,900.00","$462,500.00","1,221","190 Copperpond Villas SE","Calgary","2015","8","Kevin Lauzon","CLAUZOKE","","James III Pooten","CPOOTEJA","CBRIONAL","CAL Zone SE"
"1501","S","A2109053","Row/Townhouse","Belmont","03/29/2024","$469,900.00","$462,500.00","1,111","882 Belmont Drive SW","Calgary","2019","36","Jonathan Salois","CSALOIJO","","Arun Verma","CVERMAAR","","CAL Zone S"
"1501","S","A2112284","Apartment","Mission","03/20/2024","$449,900.00","$462,000.00","1,230","330 26 Avenue SW Unit#604","Calgary","1977","13","Francesca Serafini","CSERAFFR","","Ted Greenhough","CGREENTE","","CAL Zone CC"
"1501","S","A2113069","Row/Townhouse","Skyview Ranch","03/20/2024","$449,999.00","$461,000.00","1,232","103 Skyview Ranch Gardens NE","Calgary","2011","13","Shaiz Gill","CGILLSH1","CKAUSHAR","Maricel Kharrat","CKHARRMA","","CAL Zone NE"
"1501","S","A2115826","Row/Townhouse","Glendale","03/29/2024","$399,900.00","$460,000.00","1,347","3910 19 Avenue SW Unit#15","Calgary","1991","8","Brenda Parai","CPARAIBR","CWHYTEKI","Paul Bal","CBALPR","","CAL Zone W"
"1501","S","A2114517","Row/Townhouse","Bankview","03/18/2024","$419,900.00","$460,000.00","1,416","1441 23 Avenue SW Unit#4","Calgary","1997","4","Kourtni Listhaeghe","CLISTHKO","CMURREKE","Amy Long","CLONGAM","","CAL Zone CC"
"1501","S","A2113359","Row/Townhouse","Sage Hill","03/11/2024","$424,900.00","$460,000.00","1,197","18 Sage Hill Common NW","Calgary","2010","3","Moe Abdullah","CABDULMO","","S.Timmy Sharma","CSHARMSA3","","CAL Zone N"
"1501","S","A2112898","Row/Townhouse","Nolan Hill","03/22/2024","$440,000.00","$460,000.00","1,301","37 Nolancrest Gate NW","Calgary","2015","8","Jayesh Chaudhary","CCHAUDJA","CPATELSA3","Jing Gao","CGAOJI","","CAL Zone N"
"1501","S","A2112483","Row/Townhouse","Midnapore","03/11/2024","$420,000.00","$460,000.00","1,139","113 Midbend Place SE","Calgary","1983","3","Natalie Berthiaume","CBERTHNA","CBEHRMCL","Shaun French","CFRENCSH","","CAL Zone S"
"1501","S","A2110158","Apartment","Signal Hill","03/12/2024","$465,000.00","$460,000.00","1,415","6868 Sierra Morena Boulevard SW Unit#128","Calgary","1997","14","Christy Longacre","CLONGACH","","Doug McKay","CMCKAYDO2","","CAL Zone W"
"1501","S","A2115116","Row/Townhouse","Skyview Ranch","03/27/2024","$460,000.00","$459,250.00","1,526","285 Skyview Ranch Road NE","Calgary","2013","12","Fatima Boga","CWALJIFA","","Marek Jurkovic","CJURKOMA","CSREMADU","CAL Zone NE"
"1501","S","A2106549","Apartment","Downtown Commercial Core","03/02/2024","$468,000.00","$458,000.00","782","930 6 Avenue SW Unit#1701","Calgary","2017","19","Simon Wong","CWONGSI1","","Sam Kim","CKIMSA1","","CAL Zone CC"
"1501","S","A2109239","Row/Townhouse","Country Hills Village","03/07/2024","$419,000.00","$455,500.00","1,239","20 Country Village Manor NE","Calgary","2007","8","Jeffrey Hubert","CHUBERJE","CBEZJACR","Tia Williams","CWILLITI2","","CAL Zone N"
"1501","S","A2115868","Row/Townhouse","Ranchlands","03/26/2024","$375,000.00","$455,000.00","1,197","1292 Ranchlands Road NW","Calgary","1979","6","Mitchell Li","CLIMI","CCHANKE1","Marilou Evangelista","CIGNACMA","CHAVREJU","CAL Zone NW"
"1501","S","A2115764","Row/Townhouse","Altadore","03/21/2024","$400,000.00","$455,000.00","1,093","2027 34 Avenue SW Unit#2","Calgary","1980","1","Steve Hunter","CHUNTEST","CKEYLORA","Megan McFadden","CMCFADME","","CAL Zone CC"
"1501","S","A2112318","Row/Townhouse","Nolan Hill","03/20/2024","$465,000.00","$455,000.00","1,333","428 Nolan Hill Drive NW Unit#909","Calgary","2016","15","Jeff Jackson","CAJACKSJE","","Nada Andjelkovic","CANDJENA","CGETTYSH","CAL Zone N"
