"#","St","MLS® #","Property Sub Type","Subdivision Name","Close Date","List Price","Close Price","RMS Total","Address","City","Year Built","DOM","List Agent Full Name","List Agent Mls Id","Co List Agent Mls Id","Buyer Agent Full Name","Buyer Agent Mls Id","Co Buyer Agent Mls Id","District"
"1001","S","A2098288","Apartment","Lake Bonavista","01/24/2024","$339,000.00","$324,500.00","880","11811 Lake Fraser Drive SE Unit#5404","Calgary","2007","36","Dave Rose","CROSEDA","","Aly Janmohamed","CJANMOAL","","CAL Zone S"
"1001","S","A2101720","Apartment","Altadore","01/25/2024","$325,000.00","$324,000.00","839","2111 34 Avenue SW Unit#202","Calgary","2004","10","Brad Herman","CHERMABR","","Myles Duncan","CDUNCAMY","","CAL Zone CC"
"1001","S","A2081463","Apartment","University District","01/05/2024","$325,000.00","$324,000.00","513","383 Smith Street NW Unit#317","Calgary","2020","86","Mary Ann Turrie","CTURRIMA","","Vince Oliverio","COLIVEVI","","CAL Zone NW"
"1001","S","A2100953","Apartment","Albert Park/Radisson Heights","01/17/2024","$299,900.00","$323,000.00","838","1317 27 Street SE Unit#1406","Calgary","2015","6","Ezra Malo","CMALOEZ","CHANCOAM","Jenny Nammaha","CNAMMAJE","","CAL Zone E"
"1001","S","A2093792","Apartment","Lincoln Park","01/04/2024","$329,000.00","$323,000.00","804","35 Richard Court SW Unit#112","Calgary","2007","48","Lowell Martens","CMARTELO","","Elaine Pippi","CPIPPIEL","","CAL Zone W"
"1001","S","A2100141","Row/Townhouse","Silver Springs","01/17/2024","$299,000.00","$322,300.00","914","116 Silver Crest Drive NW Unit#70","Calgary","1976","7","Sylvia Castonguay","CCASTOSY","","Royce Li","CLIRO1","","CAL Zone NW"
"1001","S","A2101814","Apartment","Beltline","01/30/2024","$314,900.00","$321,500.00","965","1208 14 Avenue SW Unit#201","Calgary","1980","12","Susan Harrigan","CHARRIMA","","Jesse Davies","CDAVIEJE","","CAL Zone CC"
"1001","S","A2094607","Row/Townhouse","McKenzie Towne","01/29/2024","$280,000.00","$321,250.00","936","221 Mckenzie Towne Lane SE","Calgary","2007","66","Rebecca Chamberlain","CCHAMBRE","","Niloofar Saeidpour","CSAEIDNI","","CAL Zone SE"
"1001","S","A2101980","Apartment","Patterson","01/17/2024","$299,900.00","$321,000.00","847","118 Village Heights SW Unit#3","Calgary","1987","0","Rebecca Yarmoloy","CMORGARE","","Jeff Ackerman","CACKERJE","","CAL Zone W"
"1001","S","A2097205","Apartment","Country Hills Village","01/12/2024","$325,000.00","$321,000.00","842","10 Country Village Park NE Unit#3112","Calgary","2011","31","Erin Reeves","CHUCULER","","Reji George","CGEORGRE","","CAL Zone N"
"1001","S","A2102733","Row/Townhouse","Huntington Hills","01/23/2024","$295,000.00","$320,000.00","1,293","7205 4 Street NE Unit#3","Calgary","1977","1","Nick Sedrak","CSEDRANA","","Amir Halilovic","CHALILAM","","CAL Zone N"
"1001","S","A2102169","Row/Townhouse","West Springs","01/22/2024","$299,900.00","$320,000.00","843","43 West Coach Manor SW Unit#8","Calgary","2014","4","Ashley Keller","CFURNEAS","","Jemmie Li","CLIJE","","CAL Zone W"
"1001","S","A2100568","Apartment","Beltline","01/25/2024","$325,000.00","$320,000.00","723","210 15 Avenue SE Unit#2602","Calgary","2009","15","Aly Remtulla","CREMTUAL","","Gene Yamada","CYAMADGE","","CAL Zone CC"
"1001","S","A2100265","Apartment","Panorama Hills","01/22/2024","$309,900.00","$320,000.00","965","130 Panatella Street NW Unit#1410","Calgary","2014","13","Kijun Lee","CLEEKI1","","Gloria Sun","CSUNWE","","CAL Zone N"
"1001","S","A2098437","Apartment","Patterson","01/15/2024","$309,900.00","$320,000.00","1,033","301 Village Mews SW Unit#1","Calgary","1987","11","Bryon Howard","CHOWARBR","","Larry Mollard","CMOLLALA","","CAL Zone W"
"1001","S","A2097861","Apartment","Mahogany","01/03/2024","$350,000.00","$320,000.00","877","402 Marquis Lane SE Unit#210","Calgary","2014","20","Tommy Nguyen","CNGUYETO4","CBLASER","Artem Bavolskyi","CBAVOLAR","","CAL Zone SE"
"1001","S","A2096900","Apartment","Haysboro","01/08/2024","$329,900.00","$320,000.00","973","8710 Horton Road SW Unit#1518","Calgary","2008","31","Jason Risi","CRISIJA1","CRISIJA","Paul Dojcinovic","CDOJCIPA","","CAL Zone S"
