"#","St","Address","MLS® #","Property Sub Type","Subdivision Name","Close Date","List Price","Close Price","RMS Total","City","Year Built","DOM","List Agent Full Name","List Agent Mls Id","Co List Agent Mls Id","Buyer Agent Full Name","Buyer Agent Mls Id","Co Buyer Agent Mls Id","District"
"501","S","157 Sage Bluff Circle NW","A2181012","Row/Townhouse","Sage Hill","12/13/2024","$500,000.00","$495,000.00","1,251","Calgary","2018","17","Denis Hrstic","CHRSTIDE","","Kelly Stephens","CSTEPHKE","","CAL Zone N"
"501","S","1010 6 Street SW Unit#2702","A2171182","Apartment","Beltline","12/28/2024","$519,900.00","$495,000.00","834","Calgary","2017","56","Ramesh Peri","CPERIRA","","Ian Pangilinan","CPANGIRI","","CAL Zone CC"
"501","S","400 Belmont Street SW Unit#701","A2182908","Row/Townhouse","Belmont","12/20/2024","$499,900.00","$494,900.00","1,544","Calgary","2024","10","Anna Crossley","CCROSSAN1","","Calvin Bass","CBASSCA","","CAL Zone S"
"501","S","126 Sage Meadows Gardens NW","A2160878","Row/Townhouse","Sage Hill","12/06/2024","$499,000.00","$493,500.00","1,275","Calgary","2019","101","Sebastian Kabir-Riera","CKABIRSE","","Eric Rohatinsky","CROHATER","","CAL Zone N"
"501","S","209 Aspen Hills Villas SW","A2176299","Row/Townhouse","Aspen Woods","12/17/2024","$515,000.00","$492,000.00","1,101","Calgary","2007","48","Kevin Chau","CCHAUKE","","Alicia Ryan","CRYANAL","","CAL Zone W"
"501","S","669 Northmount Drive NW","A2170709","Semi Detached (Half Duplex)","Cambrian Heights","12/11/2024","$499,900.00","$492,000.00","785","Calgary","1957","68","Amanda Petersen","CPETERAM","","Wendy Do","CDOWE","","CAL Zone CC"
"501","S","38 9 Street NE Unit#908","A2183409","Apartment","Bridgeland/Riverside","12/23/2024","$500,000.00","$490,000.00","873","Calgary","2015","10","Art Lee","CLEEAR2","","Dalton Reum","CREUMDA","","CAL Zone CC"
"501","S","80 Rivercrest Crescent SE","A2183175","Detached","Riverbend","12/22/2024","$499,900.00","$490,000.00","1,007","Calgary","1993","10","Jennifer Gurnett","CGURNEJE","","Mark Potter","CPOTTEMA3","","CAL Zone SE"
"501","S","4511 Forman Crescent SE","A2181784","Detached","Forest Heights","12/16/2024","$499,900.00","$490,000.00","1,153","Calgary","1963","0","Robert Copping","CCOPPIRO","","Birdavinder Pawar","CPAWARBI","","CAL Zone E"
"501","S","30 Country Village Landing NE","A2173504","Row/Townhouse","Country Hills Village","12/06/2024","$499,999.00","$488,000.00","1,324","Calgary","1999","50","Christian Hofmeister","CHOFMECH","CMAGNUPA","Jatin Purohit","CPUROHJA","","CAL Zone N"
